id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance
235,2,Basel 2017-2018,8.0,5.0,0.0,3.0,13.0,10.0,3.0,15.0,34.854
236,2,Shakhtar 2017-2018,8.0,5.0,0.0,3.0,11.0,11.0,0.0,15.0,33.652
237,2,Beşiktaş 2017-2018,8.0,4.0,2.0,2.0,12.0,13.0,-1.0,14.0,37.448
238,2,Chelsea 2017-2018,8.0,3.0,3.0,2.0,17.0,12.0,5.0,12.0,40.218
239,2,Porto 2017-2018,8.0,3.0,2.0,3.0,15.0,15.0,0.0,11.0,43.568
240,1,CSKA Moscow 2017-2018,6.0,3.0,0.0,3.0,8.0,10.0,-2.0,9.0,28.259
241,1,Atlético Madrid 2017-2018,6.0,1.0,4.0,1.0,5.0,4.0,1.0,7.0,57.596
242,1,RB Leipzig 2017-2018,6.0,2.0,1.0,3.0,10.0,11.0,-1.0,7.0,41.374
243,1,Sporting CP 2017-2018,6.0,2.0,1.0,3.0,8.0,9.0,-1.0,7.0,46.515
244,1,Napoli 2017-2018,6.0,2.0,0.0,4.0,11.0,11.0,0.0,6.0,25.878
245,1,Spartak Moscow 2017-2018,6.0,1.0,3.0,2.0,9.0,13.0,-4.0,6.0,43.534
246,1,Feyenoord 2017-2018,6.0,1.0,0.0,5.0,5.0,14.0,-9.0,3.0,41.167
247,1,Celtic 2017-2018,6.0,1.0,0.0,5.0,5.0,18.0,-13.0,3.0,57.921
248,1,NK Maribor 2017-2018,6.0,0.0,3.0,3.0,3.0,16.0,-13.0,3.0,12.349
249,1,Anderlecht 2017-2018,6.0,1.0,0.0,5.0,2.0,17.0,-15.0,3.0,19.586
250,1,Dortmund 2017-2018,6.0,0.0,2.0,4.0,7.0,13.0,-6.0,2.0,65.402
251,1,Monaco 2017-2018,6.0,0.0,2.0,4.0,6.0,16.0,-10.0,2.0,9.378
252,1,Qarabağ FK 2017-2018,6.0,0.0,2.0,4.0,2.0,14.0,-12.0,2.0,60.741
253,1,APOEL FC 2017-2018,6.0,0.0,2.0,4.0,2.0,17.0,-15.0,2.0,17.211
254,1,Olympiacos 2017-2018,6.0,0.0,1.0,5.0,4.0,13.0,-9.0,1.0,30.445
255,1,Benfica 2017-2018,6.0,0.0,0.0,6.0,1.0,14.0,-13.0,0.0,39.492
256,6,Liverpool 2018-2019,13.0,8.0,1.0,4.0,24.0,12.0,12.0,25.0,52.907
257,5,Tottenham 2018-2019,13.0,6.0,2.0,5.0,20.0,19.0,1.0,20.0,62.947
258,4,Barcelona 2018-2019,12.0,8.0,3.0,1.0,26.0,10.0,16.0,27.0,86.178
259,4,Ajax 2018-2019,12.0,6.0,4.0,2.0,22.0,13.0,9.0,22.0,52.056
260,3,Manchester City 2018-2019,10.0,7.0,1.0,2.0,30.0,12.0,18.0,22.0,49.535
261,3,Porto 2018-2019,10.0,6.0,1.0,3.0,20.0,15.0,5.0,19.0,43.415
262,3,Juventus 2018-2019,10.0,5.0,1.0,4.0,14.0,9.0,5.0,16.0,40.766
263,3,Manchester Utd 2018-2019,10.0,4.0,1.0,5.0,10.0,11.0,-1.0,13.0,73.708
264,2,Atlético Madrid 2018-2019,8.0,5.0,1.0,2.0,11.0,9.0,2.0,16.0,60.068
265,2,Bayern Munich 2018-2019,8.0,4.0,3.0,1.0,16.0,8.0,8.0,15.0,69.536
266,2,Real Madrid 2018-2019,8.0,5.0,0.0,3.0,15.0,10.0,5.0,15.0,66.314
267,2,Paris S-G 2018-2019,8.0,4.0,2.0,2.0,20.0,12.0,8.0,14.0,45.144
268,2,Dortmund 2018-2019,8.0,4.0,1.0,3.0,10.0,6.0,4.0,13.0,66.099
269,2,Roma 2018-2019,8.0,4.0,0.0,4.0,14.0,12.0,2.0,12.0,49.525
270,2,Schalke 04 2018-2019,8.0,3.0,2.0,3.0,8.0,14.0,-6.0,11.0,50.949
271,2,Lyon 2018-2019,8.0,1.0,6.0,1.0,13.0,16.0,-3.0,9.0,41.945
